domain_id,parent_group,domain_name,sort_order
DOM-01,Life Course,Pregnancy & Pre-birth,10
DOM-02,Life Course,Birth & Newborn,20
DOM-03,Life Course,Infancy & Childhood,30
DOM-04,Life Course,Youth & Adolescence,40
DOM-05,Social Structure,"Kinship, Kili & Social Organization",50
DOM-06,Life Course,Courtship & Marriage,60
DOM-07,Life Course,Adult Household & Family Life,70
DOM-08,Ecology & Economy,"Livelihood, Land & Ecology",80
DOM-09,Sacred Life,"Religion, Cosmology & Sacred Life",90
DOM-10,Cultural Calendar,Festivals & Seasonal Life,100
DOM-11,Material & Everyday Life,"Food, Drink & Hospitality",110
DOM-12,Material & Everyday Life,"Dress, Ornament & Body Culture",120
DOM-13,Material & Everyday Life,"House, Architecture & Material Culture",130
DOM-14,Language & Expression,Language & Cultural Lexicon,140
DOM-15,Language & Expression,Oral Tradition,150
DOM-16,Language & Expression,"Music, Dance & Performance",160
DOM-17,Institutions,Community Institutions & Customary Life,170
DOM-18,Health,"Health, Healing & Wellbeing",180
DOM-19,Life Course,Elderhood & Knowledge Transmission,190
DOM-20,Life Course,"Death, Dying & Funeral",200
DOM-21,Life Course,"Mourning, Post-death & Ancestors",210
DOM-22,Dynamics,Cultural Change & Continuity,220
DOM-23,Evidence,"Evidence, Provenance & Validation",230
DOM-24,Publication,Book & Research Mapping,240
