indicator_id,domain_id,subdomain_id,indicator_kind,indicator_label,research_prompt,knowledge_status,verification_status,ocm_code,version,status
IND-000001,DOM-01,DOM-01-S01,presence_form,"Document the presence, local name and form of pregnancy recognition.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
IND-000002,DOM-01,DOM-01-S01,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for pregnancy recognition.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
IND-000003,DOM-01,DOM-01-S01,variation_change,"Document site, kili, gender, generation and historical variation in pregnancy recognition.","How does it vary across sites or groups, and how has it changed over time?",candidate,field_verification_required,,1,active
IND-000004,DOM-01,DOM-01-S02,presence_form,"Document the presence, local name and form of food and diet.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
IND-000005,DOM-01,DOM-01-S02,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for food and diet.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
IND-000006,DOM-01,DOM-01-S02,variation_change,"Document site, kili, gender, generation and historical variation in food and diet.","How does it vary across sites or groups, and how has it changed over time?",candidate,field_verification_required,,1,active
IND-000007,DOM-01,DOM-01-S03,presence_form,"Document the presence, local name and form of restrictions and taboos.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
IND-000008,DOM-01,DOM-01-S03,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for restrictions and taboos.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
IND-000009,DOM-01,DOM-01-S03,variation_change,"Document site, kili, gender, generation and historical variation in restrictions and taboos.","How does it vary across sites or groups, and how has it changed over time?",candidate,field_verification_required,,1,active
IND-000010,DOM-01,DOM-01-S04,presence_form,"Document the presence, local name and form of protection and belief.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
IND-000011,DOM-01,DOM-01-S04,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for protection and belief.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
IND-000012,DOM-01,DOM-01-S04,variation_change,"Document site, kili, gender, generation and historical variation in protection and belief.","How does it vary across sites or groups, and how has it changed over time?",candidate,field_verification_required,,1,active
IND-000013,DOM-01,DOM-01-S05,presence_form,"Document the presence, local name and form of birth preparation.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
IND-000014,DOM-01,DOM-01-S05,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for birth preparation.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
IND-000015,DOM-01,DOM-01-S05,variation_change,"Document site, kili, gender, generation and historical variation in birth preparation.","How does it vary across sites or groups, and how has it changed over time?",candidate,field_verification_required,,1,active
IND-000016,DOM-02,DOM-02-S01,presence_form,"Document the presence, local name and form of labour and delivery.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
