evidence_id,evidence_type,source_id,claim_id,representation,verification_state,access_level,locator,notes
EVD-000001,source_claim,SRC-000001,CLM-000001,paraphrase,source_reported,public,,
EVD-000002,source_claim,SRC-000001,CLM-000002,paraphrase,source_reported,public,,
EVD-000003,source_claim,SRC-000001,CLM-000003,paraphrase,source_reported,public,,
EVD-000004,source_claim,SRC-000001,CLM-000004,paraphrase,source_reported,public,,
EVD-000005,source_claim,SRC-000001,CLM-000005,paraphrase,source_reported,public,,
EVD-000006,source_claim,SRC-000001,CLM-000006,paraphrase,source_reported,public,,
EVD-000007,source_claim,SRC-000001,CLM-000007,paraphrase,source_reported,public,,
EVD-000008,source_claim,SRC-000001,CLM-000008,paraphrase,source_reported,public,,
EVD-000009,source_claim,SRC-000001,CLM-000009,paraphrase,source_reported,public,,
EVD-000010,source_claim,SRC-000001,CLM-000010,paraphrase,source_reported,public,,
EVD-000011,source_claim,SRC-000001,CLM-000011,paraphrase,source_reported,public,,
EVD-000012,source_claim,SRC-000001,CLM-000012,paraphrase,source_reported,public,,
EVD-000013,source_claim,SRC-000001,CLM-000013,paraphrase,source_reported,public,,
EVD-000014,source_claim,SRC-000002,CLM-000014,paraphrase,source_reported,public,,
EVD-000015,source_claim,SRC-000002,CLM-000015,paraphrase,source_reported,public,,
EVD-000016,source_claim,SRC-000002,CLM-000016,paraphrase,source_reported,public,,
EVD-000017,source_claim,SRC-000002,CLM-000017,paraphrase,source_reported,public,,
EVD-000018,source_claim,SRC-000002,CLM-000018,paraphrase,source_reported,public,,
EVD-000019,source_claim,SRC-000002,CLM-000019,paraphrase,source_reported,public,,
EVD-000020,source_claim,SRC-000002,CLM-000020,paraphrase,source_reported,public,,
EVD-000021,source_claim,SRC-000002,CLM-000021,paraphrase,source_reported,public,,
EVD-000022,source_claim,SRC-000007,CLM-000022,paraphrase,source_reported,public,,
EVD-000023,source_claim,SRC-000007,CLM-000023,paraphrase,source_reported,public,,
EVD-000024,source_claim,SRC-000007,CLM-000024,paraphrase,source_reported,public,,
EVD-000025,source_claim,SRC-000007,CLM-000025,paraphrase,source_reported,public,,
EVD-000026,source_claim,SRC-000007,CLM-000026,paraphrase,source_reported,public,,
EVD-000027,source_claim,SRC-000007,CLM-000027,paraphrase,source_reported,public,,
EVD-000028,source_claim,SRC-000007,CLM-000028,paraphrase,source_reported,public,,
EVD-000029,source_claim,SRC-000007,CLM-000029,paraphrase,source_reported,public,,
EVD-000030,source_claim,SRC-000008,CLM-000030,paraphrase,source_reported,public,,
EVD-000031,source_claim,SRC-000006,CLM-000031,paraphrase,source_reported,public,,
EVD-000032,source_claim,SRC-000006,CLM-000032,paraphrase,source_reported,public,,
EVD-000033,source_claim,SRC-000006,CLM-000033,paraphrase,source_reported,public,,
EVD-000034,source_claim,SRC-000006,CLM-000034,paraphrase,source_reported,public,,
EVD-000035,source_claim,SRC-000013,CLM-000035,paraphrase,source_reported,public,,
