link_id,from_type,from_id,to_type,to_id,relationship_type
LNK-000001,claim,CLM-000001,evidence,EVD-000001,supported_by
LNK-000002,claim,CLM-000002,evidence,EVD-000002,supported_by
LNK-000003,claim,CLM-000003,evidence,EVD-000003,supported_by
LNK-000004,claim,CLM-000004,evidence,EVD-000004,supported_by
LNK-000005,claim,CLM-000005,evidence,EVD-000005,supported_by
LNK-000006,claim,CLM-000006,evidence,EVD-000006,supported_by
LNK-000007,claim,CLM-000007,evidence,EVD-000007,supported_by
LNK-000008,claim,CLM-000008,evidence,EVD-000008,supported_by
LNK-000009,claim,CLM-000009,evidence,EVD-000009,supported_by
LNK-000010,claim,CLM-000010,evidence,EVD-000010,supported_by
LNK-000011,claim,CLM-000011,evidence,EVD-000011,supported_by
LNK-000012,claim,CLM-000012,evidence,EVD-000012,supported_by
LNK-000013,claim,CLM-000013,evidence,EVD-000013,supported_by
LNK-000014,claim,CLM-000014,evidence,EVD-000014,supported_by
LNK-000015,claim,CLM-000015,evidence,EVD-000015,supported_by
LNK-000016,claim,CLM-000016,evidence,EVD-000016,supported_by
LNK-000017,claim,CLM-000017,evidence,EVD-000017,supported_by
LNK-000018,claim,CLM-000018,evidence,EVD-000018,supported_by
LNK-000019,claim,CLM-000019,evidence,EVD-000019,supported_by
LNK-000020,claim,CLM-000020,evidence,EVD-000020,supported_by
LNK-000021,claim,CLM-000021,evidence,EVD-000021,supported_by
LNK-000022,claim,CLM-000022,evidence,EVD-000022,supported_by
LNK-000023,claim,CLM-000023,evidence,EVD-000023,supported_by
LNK-000024,claim,CLM-000024,evidence,EVD-000024,supported_by
LNK-000025,claim,CLM-000025,evidence,EVD-000025,supported_by
LNK-000026,claim,CLM-000026,evidence,EVD-000026,supported_by
LNK-000027,claim,CLM-000027,evidence,EVD-000027,supported_by
LNK-000028,claim,CLM-000028,evidence,EVD-000028,supported_by
LNK-000029,claim,CLM-000029,evidence,EVD-000029,supported_by
LNK-000030,claim,CLM-000030,evidence,EVD-000030,supported_by
LNK-000031,claim,CLM-000031,evidence,EVD-000031,supported_by
LNK-000032,claim,CLM-000032,evidence,EVD-000032,supported_by
LNK-000033,claim,CLM-000033,evidence,EVD-000033,supported_by
LNK-000034,claim,CLM-000034,evidence,EVD-000034,supported_by
LNK-000035,claim,CLM-000035,evidence,EVD-000035,supported_by
LNK-000036,claim,CLM-000036,evidence,EVD-000036,supported_by
LNK-000037,claim,CLM-000037,evidence,EVD-000037,supported_by
LNK-000038,claim,CLM-000038,evidence,EVD-000038,supported_by
