term_id,term,language_or_usage,translation,cultural_note,source_id,community_validation_status
TRM-000001,Killi,,,source-reported spelling; community linguistic validation required,SRC-000001,not_validated
TRM-000002,Pahan,,,source-reported spelling; community linguistic validation required,SRC-000002,not_validated
TRM-000003,Sarna,,,source-reported spelling; community linguistic validation required,SRC-000002,not_validated
TRM-000004,Singbonga,,,source-reported spelling; community linguistic validation required,SRC-000002,not_validated
TRM-000005,Ora Bongako,,,source-reported spelling; community linguistic validation required,SRC-000002,not_validated
TRM-000006,durang,,,source-reported spelling; community linguistic validation required,SRC-000001,not_validated
TRM-000007,susun,,,source-reported spelling; community linguistic validation required,SRC-000001,not_validated
TRM-000008,Cham utarna,,,source-reported spelling; community linguistic validation required,SRC-000001,not_validated
TRM-000009,Lota-pani,,,source-reported spelling; community linguistic validation required,SRC-000001,not_validated
TRM-000010,Dali Takka,,,source-reported spelling; community linguistic validation required,SRC-000001,not_validated
TRM-000011,Patthalgari,,,source-reported spelling; community linguistic validation required,SRC-000001,not_validated
TRM-000012,Horadiri,,,source-reported spelling; community linguistic validation required,SRC-000001,not_validated
TRM-000013,Chalpadiri,,,source-reported spelling; community linguistic validation required,SRC-000001,not_validated
TRM-000014,Saasandiri,,,source-reported spelling; community linguistic validation required,SRC-000001,not_validated
TRM-000015,Ziddiri,,,source-reported spelling; community linguistic validation required,SRC-000001,not_validated
TRM-000016,Sarhul,,,source-reported spelling; community linguistic validation required,SRC-000002,not_validated
TRM-000017,Mage,,,source-reported spelling; community linguistic validation required,SRC-000002,not_validated
TRM-000018,Karam,,,source-reported spelling; community linguistic validation required,SRC-000002,not_validated
TRM-000019,Sohrai,,,source-reported spelling; community linguistic validation required,SRC-000002,not_validated
TRM-000020,Rapa,,,source-reported spelling; community linguistic validation required,SRC-000007,not_validated
TRM-000021,Topa,,,source-reported spelling; community linguistic validation required,SRC-000007,not_validated
TRM-000022,Umbul ader,,,source-reported spelling; community linguistic validation required,SRC-000007,not_validated
TRM-000023,Hayom,,,source-reported spelling; community linguistic validation required,SRC-000007,not_validated
TRM-000024,Jangtopa,,,source-reported spelling; community linguistic validation required,SRC-000007,not_validated
TRM-000025,Jang-ba,,,source-reported spelling; community linguistic validation required,SRC-000007,not_validated
TRM-000026,Harrgarri,,,source-reported spelling; community linguistic validation required,SRC-000007,not_validated
TRM-000027,Handia,,,source-reported spelling; community linguistic validation required,SRC-000004,not_validated
TRM-000028,Sasan,,,source-reported spelling; community linguistic validation required,SRC-000006,not_validated
TRM-000029,kanbhedi,,,source-reported spelling; community linguistic validation required,SRC-000013,not_validated
TRM-000030,godna,,,source-reported spelling; community linguistic validation required,SRC-000013,not_validated
